Experiment	Measurement	Replication	Module	Module Display Path	Name	Count	Mean	StdDev	
General		#0	WlcApLab.wlc.ethernet	WlcApLab.wlc.ethernet	encapPk:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.ethernet	WlcApLab.wlc.ethernet	decapPk:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.ethernet	WlcApLab.wlc.ethernet	pauseSent:vector	0	-	-	
General		#0	WlcApLab.wlc.lo[0].lo	WlcApLab.wlc.lo[0].lo	rcvdPkFromHl:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.lo[0].lo	WlcApLab.wlc.lo[0].lo	passedUpPk:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.lo[0]	WlcApLab.wlc.lo[0]	packetDropInterfaceDown:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.lo[0]	WlcApLab.wlc.lo[0]	packetDropNoCarrier:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.eth[0].queue	WlcApLab.wlc.eth[0].queue	queueLength:vector	5	0 pk	0 pk	
General		#0	WlcApLab.wlc.eth[0].queue	WlcApLab.wlc.eth[0].queue	queueBitLength:vector	5	0 B	0 B	
General		#0	WlcApLab.wlc.eth[0].queue	WlcApLab.wlc.eth[0].queue	queueingTime:vector	0	-	-	
General		#0	WlcApLab.wlc.eth[0].queue	WlcApLab.wlc.eth[0].queue	incomingPacketLengths:vector	0	-	-	
General		#0	WlcApLab.wlc.eth[0].queue	WlcApLab.wlc.eth[0].queue	incomingDataRate:vector	300	0 bps	0 bps	
General		#0	WlcApLab.wlc.eth[0].queue	WlcApLab.wlc.eth[0].queue	outgoingPacketLengths:vector	0	-	-	
General		#0	WlcApLab.wlc.eth[0].queue	WlcApLab.wlc.eth[0].queue	outgoingDataRate:vector	300	0 bps	0 bps	
General		#0	WlcApLab.wlc.eth[0].queue	WlcApLab.wlc.eth[0].queue	droppedPacketLengthsQueueOverflow:vector	0	-	-	
General		#0	WlcApLab.wlc.eth[0].queue	WlcApLab.wlc.eth[0].queue	flowQueueingTime:vector	0	-	-	
General		#0	WlcApLab.wlc.eth[0].queue	WlcApLab.wlc.eth[0].queue	flowIncomingDataRate:vector	0	-	-	
General		#0	WlcApLab.wlc.eth[0].queue	WlcApLab.wlc.eth[0].queue	flowOutgoingDataRate:vector	0	-	-	
General		#0	WlcApLab.wlc.eth[0].mac	WlcApLab.wlc.eth[0].mac	txPk:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.eth[0].mac	WlcApLab.wlc.eth[0].mac	rxPkOk:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.eth[0].mac	WlcApLab.wlc.eth[0].mac	passedUpPk:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.eth[0].mac	WlcApLab.wlc.eth[0].mac	txPausePkUnits:vector	0	-	-	
General		#0	WlcApLab.wlc.eth[0].mac	WlcApLab.wlc.eth[0].mac	rxPausePkUnits:vector	0	-	-	
General		#0	WlcApLab.wlc.eth[0].mac	WlcApLab.wlc.eth[0].mac	packetReceivedFromUpper:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.eth[0].mac	WlcApLab.wlc.eth[0].mac	packetDropIncorrectlyReceived:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.eth[0].mac	WlcApLab.wlc.eth[0].mac	packetDropInterfaceDown:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.eth[0].mac	WlcApLab.wlc.eth[0].mac	packetDropNotAddressedToUs:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.eth[0]	WlcApLab.wlc.eth[0]	packetDropInterfaceDown:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.eth[0]	WlcApLab.wlc.eth[0]	packetDropNoCarrier:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.ipv4.ip	WlcApLab.wlc.ipv4.ip	packetDropAddressResolutionFailed:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.ipv4.ip	WlcApLab.wlc.ipv4.ip	packetDropHopLimitReached:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.ipv4.ip	WlcApLab.wlc.ipv4.ip	packetDropForwardingDisabled:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.ipv4.ip	WlcApLab.wlc.ipv4.ip	packetDropNoInterfaceFound:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.ipv4.ip	WlcApLab.wlc.ipv4.ip	packetDropNoRouteFound:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.ipv4.ip	WlcApLab.wlc.ipv4.ip	packetDropUndefined:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.ipv4.arp	WlcApLab.wlc.ipv4.arp	arpRequestSent:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.ipv4.arp	WlcApLab.wlc.ipv4.arp	arpReplySent:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.udp	WlcApLab.wlc.udp	packetSent:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.udp	WlcApLab.wlc.udp	packetReceived:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.udp	WlcApLab.wlc.udp	passedUpPk:vector(count)	1	0	-	
General		#0	WlcApLab.wlc.udp	WlcApLab.wlc.udp	droppedPkWrongPort:vector(count)	1	0	-	
General		#0	WlcApLab.wlc.udp	WlcApLab.wlc.udp	droppedPkBadChecksum:vector(count)	1	0	-	
General		#0	WlcApLab.switch0.bridging	WlcApLab.switch0.bridging	packetDropped:vector(packetBytes)	0	-	-	
