Experiment	Measurement	Replication	Module	Module Display Path	Name	Value	
Distancia_50m		#0	WifiKolbNetwork.radioMedium.propagation	WifiKolbNetwork.radioMedium.propagation	Arrival computation count	7 601	
Distancia_50m		#0	WifiKolbNetwork.radioMedium	WifiKolbNetwork.radioMedium	transmission count	7 601	
Distancia_50m		#0	WifiKolbNetwork.radioMedium	WifiKolbNetwork.radioMedium	signal send count	7 601	
Distancia_50m		#0	WifiKolbNetwork.radioMedium	WifiKolbNetwork.radioMedium	reception computation count	7 600	
Distancia_50m		#0	WifiKolbNetwork.radioMedium	WifiKolbNetwork.radioMedium	interference computation count	30 404	
Distancia_50m		#0	WifiKolbNetwork.radioMedium	WifiKolbNetwork.radioMedium	reception decision computation count	7 600	
Distancia_50m		#0	WifiKolbNetwork.radioMedium	WifiKolbNetwork.radioMedium	listening decision computation count	15 204	
Distancia_50m		#0	WifiKolbNetwork.radioMedium	WifiKolbNetwork.radioMedium	reception cache hit	~ 85.714 3 %	
Distancia_50m		#0	WifiKolbNetwork.radioMedium	WifiKolbNetwork.radioMedium	interference cache hit	~ 66.666 7 %	
Distancia_50m		#0	WifiKolbNetwork.radioMedium	WifiKolbNetwork.radioMedium	noise cache hit	0 %	
Distancia_50m		#0	WifiKolbNetwork.radioMedium	WifiKolbNetwork.radioMedium	snir cache hit	50 %	
Distancia_50m		#0	WifiKolbNetwork.radioMedium	WifiKolbNetwork.radioMedium	reception decision cache hit	50 %	
Distancia_50m		#0	WifiKolbNetwork.radioMedium	WifiKolbNetwork.radioMedium	reception result cache hit	0 %	
Distancia_50m		#0	WifiKolbNetwork.hostA.lo[0].lo	WifiKolbNetwork.hostA.lo[0].lo	rcvdPkFromHl:count	0	
Distancia_50m		#0	WifiKolbNetwork.hostA.lo[0].lo	WifiKolbNetwork.hostA.lo[0].lo	rcvdPkFromHl:sum(packetBytes)	0	
Distancia_50m		#0	WifiKolbNetwork.hostA.lo[0].lo	WifiKolbNetwork.hostA.lo[0].lo	passedUpPk:count	0	
Distancia_50m		#0	WifiKolbNetwork.hostA.lo[0].lo	WifiKolbNetwork.hostA.lo[0].lo	passedUpPk:sum(packetBytes)	0	
Distancia_50m		#0	WifiKolbNetwork.hostA.lo[0]	WifiKolbNetwork.hostA.lo[0]	packetDropInterfaceDown:count	0	
Distancia_50m		#0	WifiKolbNetwork.hostA.lo[0]	WifiKolbNetwork.hostA.lo[0]	packetDropInterfaceDown:sum(packetBytes)	0	
Distancia_50m		#0	WifiKolbNetwork.hostA.lo[0]	WifiKolbNetwork.hostA.lo[0]	packetDropNoCarrier:count	0	
Distancia_50m		#0	WifiKolbNetwork.hostA.lo[0]	WifiKolbNetwork.hostA.lo[0]	packetDropNoCarrier:sum(packetBytes)	0	
Distancia_50m		#0	WifiKolbNetwork.hostA.wlan[0].mac.dcf.channelAccess.pendingQueue	WifiKolbNetwork.hostA.wlan[0].mac.dcf.channelAccess.pendingQueue	queueLength:last	0 pk	
Distancia_50m		#0	WifiKolbNetwork.hostA.wlan[0].mac.dcf.channelAccess.pendingQueue	WifiKolbNetwork.hostA.wlan[0].mac.dcf.channelAccess.pendingQueue	queueLength:max	1 pk	
Distancia_50m		#0	WifiKolbNetwork.hostA.wlan[0].mac.dcf.channelAccess.pendingQueue	WifiKolbNetwork.hostA.wlan[0].mac.dcf.channelAccess.pendingQueue	queueLength:timeavg	0 pk	
Distancia_50m		#0	WifiKolbNetwork.hostA.wlan[0].mac.dcf.channelAccess.pendingQueue	WifiKolbNetwork.hostA.wlan[0].mac.dcf.channelAccess.pendingQueue	queueBitLength:last	0 B	
Distancia_50m		#0	WifiKolbNetwork.hostA.wlan[0].mac.dcf.channelAccess.pendingQueue	WifiKolbNetwork.hostA.wlan[0].mac.dcf.channelAccess.pendingQueue	queueBitLength:max	1 534 B	
Distancia_50m		#0	WifiKolbNetwork.hostA.wlan[0].mac.dcf.channelAccess.pendingQueue	WifiKolbNetwork.hostA.wlan[0].mac.dcf.channelAccess.pendingQueue	queueBitLength:timeavg	0 B	
Distancia_50m		#0	WifiKolbNetwork.hostA.wlan[0].mac.dcf.channelAccess.pendingQueue	WifiKolbNetwork.hostA.wlan[0].mac.dcf.channelAccess.pendingQueue	outgoingPackets:count	1 901 pk	
Distancia_50m		#0	WifiKolbNetwork.hostA.wlan[0].mac.dcf.channelAccess.pendingQueue	WifiKolbNetwork.hostA.wlan[0].mac.dcf.channelAccess.pendingQueue	outgoingPacketLengths:sum	~ 2.916 13 MB	
Distancia_50m		#0	WifiKolbNetwork.hostA.wlan[0].mac.dcf.channelAccess.pendingQueue	WifiKolbNetwork.hostA.wlan[0].mac.dcf.channelAccess.pendingQueue	incomingPackets:count	1 901 pk	
