Experiment	Measurement	Replication	Module	Module Display Path	Name	Count	Mean	StdDev	
General		#0	WlcApLab.wlc.ethernet	WlcApLab.wlc.ethernet	encapPk:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.ethernet	WlcApLab.wlc.ethernet	decapPk:vector(packetBytes)	3	46	0	
General		#0	WlcApLab.wlc.ethernet	WlcApLab.wlc.ethernet	pauseSent:vector	0	-	-	
General		#0	WlcApLab.wlc.lo[0].lo	WlcApLab.wlc.lo[0].lo	rcvdPkFromHl:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.lo[0].lo	WlcApLab.wlc.lo[0].lo	passedUpPk:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.lo[0]	WlcApLab.wlc.lo[0]	packetDropInterfaceDown:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.lo[0]	WlcApLab.wlc.lo[0]	packetDropNoCarrier:vector(packetBytes)	0	-	-	
General		#0	WlcApLab.wlc.eth[0].queue	WlcApLab.wlc.eth[0].queue	queueLength:vector	5	0 pk	0 pk	
General		#0	WlcApLab.wlc.eth[0].queue	WlcApLab.wlc.eth[0].queue	queueBitLength:vector	5	0 B	0 B	
General		#0	WlcApLab.wlc.eth[0].queue	WlcApLab.wlc.eth[0].queue	queueingTime:vector	0	-	-	
General		#0	WlcApLab.wlc.eth[0].queue	WlcApLab.wlc.eth[0].queue	incomingPacketLengths:vector	0	-	-	
General		#0	WlcApLab.wlc.eth[0].queue	WlcApLab.wlc.eth[0].queue	incomingDataRate:vector	300	0 bps	0 bps	
General		#0	WlcApLab.wlc.eth[0].queue	WlcApLab.wlc.eth[0].queue	outgoingPacketLengths:vector	0	-	-	
General		#0	WlcApLab.wlc.eth[0].queue	WlcApLab.wlc.eth[0].queue	outgoingDataRate:vector	300	0 bps	0 bps	
General		#0	WlcApLab.wlc.eth[0].queue	WlcApLab.wlc.eth[0].queue	droppedPacketLengthsQueueOverflow:vector	0	-	-	
General		#0	WlcApLab.wlc.eth[0].queue	WlcApLab.wlc.eth[0].queue	flowQueueingTime:vector	0	-	-	
